icd_code;disease_type_pl;disease_type_en;icd_disease_details;disease_pl_details;disease_en_details
N13;Uropatia zaporowa i refluksowa;Obstructive and reflux uropathy;N13.8;Inne uropatie zaporowe i refluksowe;Other obstructive and reflux uropathy
N13;Uropatia zaporowa i refluksowa;Obstructive and reflux uropathy;N13.9;Uropatia zaporowa i refluksowa, nieokreślona;Obstructive and reflux uropathy, unspecified
N13;Uropatia zaporowa i refluksowa;Obstructive and reflux uropathy;N13.9;Uropatia zaporowa i refluksowa, nieokreślona;
N14;Zmiany cewkowe i cewkowo-śródmiąższowe wywołane przez leki i metale ciężkie;Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions;N14.0;Nefropatia wywołana przez środki przeciwbólowe;Analgesic nephropathy
N14;Zmiany cewkowe i cewkowo-śródmiąższowe wywołane przez leki i metale ciężkie;Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions;N14.1;Nefropatia wywołana przez inne leki, środki farmakologiczne i biologiczne;Nephropathy induced by other drugs, medicaments and biological substances
N14;Zmiany cewkowe i cewkowo-śródmiąższowe wywołane przez leki i metale ciężkie;Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions;N14.2;Nefropatia wywołana przez nieokreślony lek, środek farmakologiczny lub substancję biologiczną;Nephropathy induced by unspecified drug, medicament or biological substance
N14;Zmiany cewkowe i cewkowo-śródmiąższowe wywołane przez leki i metale ciężkie;Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions;N14.3;Nefropatia wywołana przez metale ciężkie;Nephropathy induced by heavy metals
N14;Zmiany cewkowe i cewkowo-śródmiąższowe wywołane przez leki i metale ciężkie;Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions;N14.4;Nefropatia toksyczna, niesklasyfikowana gdzie indziej;Toxic nephropathy, not elsewhere classified
N15;Inne cewkowo-śródmiąższowe choroby nerek;Other renal tubulo-interstitial diseases;N15.0;Bałkańskie endemiczne zapalenie nerek;Balkan nephropathy
N15;Inne cewkowo-śródmiąższowe choroby nerek;Other renal tubulo-interstitial diseases;N15.0;Bałkańskie endemiczne zapalenie nerek;
N15;Inne cewkowo-śródmiąższowe choroby nerek;Other renal tubulo-interstitial diseases;N15.1;Ropień nerkowy i okołonerkowy;Renal and perinephric abscess
N15;Inne cewkowo-śródmiąższowe choroby nerek;Other renal tubulo-interstitial diseases;N15.8;Inne określone cewkowo-śródmiąższowe choroby nerek;Other specified renal tubulo-interstitial diseases
N15;Inne cewkowo-śródmiąższowe choroby nerek;Other renal tubulo-interstitial diseases;N15.9;Choroba cewkowo-śródmiąższowa nerek, nieokreślona;Renal tubulo-interstitial disease, unspecified
N15;Inne cewkowo-śródmiąższowe choroby nerek;Other renal tubulo-interstitial diseases;N15.9;Choroba cewkowo-śródmiąższowa nerek, nieokreślona;
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.0*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in infectious and parasitic diseases classified elsewhere
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.0*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej;
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.0*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej;
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.0*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej;
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.0*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej;
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.0*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej;
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.1*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób nowotworowych;Renal tubulo-interstitial disorders in neoplastic diseases
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.1*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób nowotworowych;
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.1*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób nowotworowych;
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.1*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób nowotworowych;
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.2*;Zaburzenia cewkowo-śródmiąższowe nerek w chorobach krwi i w zaburzeniach o podłożu immunologicznym;Renal tubulo-interstitial disorders in blood diseases and disorders involving the immune mechanism
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.2*;Zaburzenia cewkowo-śródmiąższowe nerek w chorobach krwi i w zaburzeniach o podłożu immunologicznym;
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.2*;Zaburzenia cewkowo-śródmiąższowe nerek w chorobach krwi i w zaburzeniach o podłożu immunologicznym;
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.3*;Zaburzenia cewkowo-śródmiąższowe nerek w chorobach przemiany materii;Renal tubulo-interstitial disorders in metabolic diseases
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.3*;Zaburzenia cewkowo-śródmiąższowe nerek w chorobach przemiany materii;
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.3*;Zaburzenia cewkowo-śródmiąższowe nerek w chorobach przemiany materii;
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.3*;Zaburzenia cewkowo-śródmiąższowe nerek w chorobach przemiany materii;
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.4*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu układowych chorób tkanki łącznej;Renal tubulo-interstitial disorders in systemic connective tissue disorders
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.4*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu układowych chorób tkanki łącznej;
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.4*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu układowych chorób tkanki łącznej;
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.5*;Zaburzenia cewkowo-śródmiąższowe nerek w odrzuceniu przeszczepu (T86.–†);Renal tubulo-interstitial disorders in transplant rejection (T86.-+)
N16*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in diseases classified elsewhere;N16.8*;Zaburzenia cewkowo-śródmiąższowe nerek w przebiegu innych chorób sklasyfikowanych gdzie indziej;Renal tubulo-interstitial disorders in other diseases classified elsewhere
N17;Ostra niewydolność nerek;Acute renal failure;N17.0;Ostra niewydolność nerek z martwicą cewek;Acute renal failure with tubular necrosis
N17;Ostra niewydolność nerek;Acute renal failure;N17.0;Ostra niewydolność nerek z martwicą cewek;
N17;Ostra niewydolność nerek;Acute renal failure;N17.0;Ostra niewydolność nerek z martwicą cewek;
N17;Ostra niewydolność nerek;Acute renal failure;N17.0;Ostra niewydolność nerek z martwicą cewek;
N17;Ostra niewydolność nerek;Acute renal failure;N17.1;Ostra niewydolność nerek z ostrą martwicą kory nerek;Acute renal failure with acute cortical necrosis
N17;Ostra niewydolność nerek;Acute renal failure;N17.1;Ostra niewydolność nerek z ostrą martwicą kory nerek;
N17;Ostra niewydolność nerek;Acute renal failure;N17.1;Ostra niewydolność nerek z ostrą martwicą kory nerek;
N17;Ostra niewydolność nerek;Acute renal failure;N17.1;Ostra niewydolność nerek z ostrą martwicą kory nerek;
N17;Ostra niewydolność nerek;Acute renal failure;N17.2;Ostra niewydolność nerek z martwicą w części rdzeniowej;Acute renal failure with medullary necrosis
N17;Ostra niewydolność nerek;Acute renal failure;N17.2;Ostra niewydolność nerek z martwicą w części rdzeniowej;
N17;Ostra niewydolność nerek;Acute renal failure;N17.2;Ostra niewydolność nerek z martwicą w części rdzeniowej;
N17;Ostra niewydolność nerek;Acute renal failure;N17.2;Ostra niewydolność nerek z martwicą w części rdzeniowej;
N17;Ostra niewydolność nerek;Acute renal failure;N17.8;Inna ostra niewydolność nerek;Other acute renal failure
N17;Ostra niewydolność nerek;Acute renal failure;N17.9;Ostra niewydolność nerek, nieokreślona;Acute renal failure, unspecified
N18;Przewlekła niewydolność nerek;Chronic renal failure;N18.0;Schyłkowa niewydolność nerek;End-stage renal disease
N18;Przewlekła niewydolność nerek;Chronic renal failure;N18.8;Inna przewlekła niewydolność nerek;Other chronic renal failure
N18;Przewlekła niewydolność nerek;Chronic renal failure;N18.8;Inna przewlekła niewydolność nerek;
N18;Przewlekła niewydolność nerek;Chronic renal failure;N18.8;Inna przewlekła niewydolność nerek;
N18;Przewlekła niewydolność nerek;Chronic renal failure;N18.9;Przewlekła niewydolność nerek, nieokreślona;Chronic renal failure, unspecified
N19;Nieokreślona niewydolność nerek;Unspecified renal failure;;;
N20;Kamica nerki i moczowodu;Calculus of kidney and ureter;N20.0;Kamica nerki;Calculus of kidney
N20;Kamica nerki i moczowodu;Calculus of kidney and ureter;N20.0;Kamica nerki;
N20;Kamica nerki i moczowodu;Calculus of kidney and ureter;N20.0;Kamica nerki;
N20;Kamica nerki i moczowodu;Calculus of kidney and ureter;N20.0;Kamica nerki;
N20;Kamica nerki i moczowodu;Calculus of kidney and ureter;N20.0;Kamica nerki;
N20;Kamica nerki i moczowodu;Calculus of kidney and ureter;N20.1;Kamica moczowodu;Calculus of ureter
N20;Kamica nerki i moczowodu;Calculus of kidney and ureter;N20.1;Kamica moczowodu;
N20;Kamica nerki i moczowodu;Calculus of kidney and ureter;N20.2;Kamica nerki z kamicą moczowodu;Calculus of kidney with calculus of ureter
N20;Kamica nerki i moczowodu;Calculus of kidney and ureter;N20.9;Kamica moczowa, nieokreślona;Urinary calculus, unspecified
N20;Kamica nerki i moczowodu;Calculus of kidney and ureter;N20.9;Kamica moczowa, nieokreślona;
N21;Kamień w obrębie dolnych dróg moczowych;Calculus of lower urinary tract;N21.0;Kamica pęcherza moczowego;Calculus in bladder
N21;Kamień w obrębie dolnych dróg moczowych;Calculus of lower urinary tract;N21.0;Kamica pęcherza moczowego;
N21;Kamień w obrębie dolnych dróg moczowych;Calculus of lower urinary tract;N21.0;Kamica pęcherza moczowego;
N21;Kamień w obrębie dolnych dróg moczowych;Calculus of lower urinary tract;N21.1;Kamień w cewce moczowej;Calculus in urethra
N21;Kamień w obrębie dolnych dróg moczowych;Calculus of lower urinary tract;N21.8;Inne postacie kamicy dolnych dróg moczowych;Other lower urinary tract calculus
N21;Kamień w obrębie dolnych dróg moczowych;Calculus of lower urinary tract;N21.9;Kamica dolnych dróg moczowych, nieokreślona;Calculus of lower urinary tract, unspecified
N22*;Kamica dróg moczowych w przebiegu chorób sklasyfikowanych gdzie indziej;Calculus of urinary tract in diseases classified elsewhere;N22.0*;Kamica moczowa w przebiegu schistosomatozy [bilharcjozy] (B65.–†);Urinary calculus in schistosomiasis [bilharziasis] (B65.-+)
N22*;Kamica dróg moczowych w przebiegu chorób sklasyfikowanych gdzie indziej;Calculus of urinary tract in diseases classified elsewhere;N22.8*;Kamica dróg moczowych w przebiegu chorób sklasyfikowanych gdzie indziej;Calculus of urinary tract in other diseases classified elsewhere
N23;Nieokreślona kolka nerkowa;Unspecified renal colic;;;
N25;Zaburzenia wynikające z upośledzonej czynności cewek nerkowych;Disorders resulting from impaired renal tubular function;N25.0;Osteodystrofia nerkowa;Renal osteodystrophy
N25;Zaburzenia wynikające z upośledzonej czynności cewek nerkowych;Disorders resulting from impaired renal tubular function;N25.0;Osteodystrofia nerkowa;
N25;Zaburzenia wynikające z upośledzonej czynności cewek nerkowych;Disorders resulting from impaired renal tubular function;N25.0;Osteodystrofia nerkowa;
N25;Zaburzenia wynikające z upośledzonej czynności cewek nerkowych;Disorders resulting from impaired renal tubular function;N25.0;Osteodystrofia nerkowa;
N25;Zaburzenia wynikające z upośledzonej czynności cewek nerkowych;Disorders resulting from impaired renal tubular function;N25.0;Osteodystrofia nerkowa;
N25;Zaburzenia wynikające z upośledzonej czynności cewek nerkowych;Disorders resulting from impaired renal tubular function;N25.1;Moczówka prosta pochodzenia nerkowego;Nephrogenic diabetes insipidus
N25;Zaburzenia wynikające z upośledzonej czynności cewek nerkowych;Disorders resulting from impaired renal tubular function;N25.8;Inne zaburzenia wynikające z upośledzonej czynności cewek nerkowych;Other disorders resulting from impaired renal tubular function
N25;Zaburzenia wynikające z upośledzonej czynności cewek nerkowych;Disorders resulting from impaired renal tubular function;N25.8;Inne zaburzenia wynikające z upośledzonej czynności cewek nerkowych;
N25;Zaburzenia wynikające z upośledzonej czynności cewek nerkowych;Disorders resulting from impaired renal tubular function;N25.8;Inne zaburzenia wynikające z upośledzonej czynności cewek nerkowych;
N25;Zaburzenia wynikające z upośledzonej czynności cewek nerkowych;Disorders resulting from impaired renal tubular function;N25.8;Inne zaburzenia wynikające z upośledzonej czynności cewek nerkowych;
N25;Zaburzenia wynikające z upośledzonej czynności cewek nerkowych;Disorders resulting from impaired renal tubular function;N25.9;Zaburzenia wynikające z upośledzonej czynności cewek nerkowych, nieokreślone;Disorder resulting from impaired renal tubular function, unspecified
N26;Nieokreślony zanik nerki;Unspecified contracted kidney;;;
N26;Nieokreślony zanik nerki;Unspecified contracted kidney;;;
N27;Nerka mała z nieznanej przyczyny;Small kidney of unknown cause;N27.0;Nerka mała, jednostronnie;Small kidney, unilateral
N27;Nerka mała z nieznanej przyczyny;Small kidney of unknown cause;N27.1;Nerka mała, obustronnie;Small kidney, bilateral
N27;Nerka mała z nieznanej przyczyny;Small kidney of unknown cause;N27.9;Nerka mała, nieokreślona;Small kidney, unspecified
N28;Inne zaburzenia nerki i moczowodu niesklasyfikowane gdzie indziej;Other disorders of kidney and ureter, not elsewhere classified;N28.0;Niedokrwienie i zawał nerki;Ischaemia and infarction of kidney
N28;Inne zaburzenia nerki i moczowodu niesklasyfikowane gdzie indziej;Other disorders of kidney and ureter, not elsewhere classified;N28.0;Niedokrwienie i zawał nerki;
N28;Inne zaburzenia nerki i moczowodu niesklasyfikowane gdzie indziej;Other disorders of kidney and ureter, not elsewhere classified;N28.0;Niedokrwienie i zawał nerki;
N28;Inne zaburzenia nerki i moczowodu niesklasyfikowane gdzie indziej;Other disorders of kidney and ureter, not elsewhere classified;N28.0;Niedokrwienie i zawał nerki;
N28;Inne zaburzenia nerki i moczowodu niesklasyfikowane gdzie indziej;Other disorders of kidney and ureter, not elsewhere classified;N28.0;Niedokrwienie i zawał nerki;
N28;Inne zaburzenia nerki i moczowodu niesklasyfikowane gdzie indziej;Other disorders of kidney and ureter, not elsewhere classified;N28.0;Niedokrwienie i zawał nerki;
N28;Inne zaburzenia nerki i moczowodu niesklasyfikowane gdzie indziej;Other disorders of kidney and ureter, not elsewhere classified;N28.1;Torbiel nerki, nabyta;Cyst of kidney, acquired
N28;Inne zaburzenia nerki i moczowodu niesklasyfikowane gdzie indziej;Other disorders of kidney and ureter, not elsewhere classified;N28.1;Torbiel nerki, nabyta;
N28;Inne zaburzenia nerki i moczowodu niesklasyfikowane gdzie indziej;Other disorders of kidney and ureter, not elsewhere classified;N28.8;Inne określone zaburzenia nerki i moczowodu;Other specified disorders of kidney and ureter
N28;Inne zaburzenia nerki i moczowodu niesklasyfikowane gdzie indziej;Other disorders of kidney and ureter, not elsewhere classified;N28.8;Inne określone zaburzenia nerki i moczowodu;
N28;Inne zaburzenia nerki i moczowodu niesklasyfikowane gdzie indziej;Other disorders of kidney and ureter, not elsewhere classified;N28.8;Inne określone zaburzenia nerki i moczowodu;
N28;Inne zaburzenia nerki i moczowodu niesklasyfikowane gdzie indziej;Other disorders of kidney and ureter, not elsewhere classified;N28.8;Inne określone zaburzenia nerki i moczowodu;
N28;Inne zaburzenia nerki i moczowodu niesklasyfikowane gdzie indziej;Other disorders of kidney and ureter, not elsewhere classified;N28.8;Inne określone zaburzenia nerki i moczowodu;
N28;Inne zaburzenia nerki i moczowodu niesklasyfikowane gdzie indziej;Other disorders of kidney and ureter, not elsewhere classified;N28.8;Inne określone zaburzenia nerki i moczowodu;
N28;Inne zaburzenia nerki i moczowodu niesklasyfikowane gdzie indziej;Other disorders of kidney and ureter, not elsewhere classified;N28.8;Inne określone zaburzenia nerki i moczowodu;
N28;Inne zaburzenia nerki i moczowodu niesklasyfikowane gdzie indziej;Other disorders of kidney and ureter, not elsewhere classified;N28.8;Inne określone zaburzenia nerki i moczowodu;
N28;Inne zaburzenia nerki i moczowodu niesklasyfikowane gdzie indziej;Other disorders of kidney and ureter, not elsewhere classified;N28.9;Zaburzenia nerki i moczowodu, nieokreślone;Disorder of kidney and ureter, unspecified
N28;Inne zaburzenia nerki i moczowodu niesklasyfikowane gdzie indziej;Other disorders of kidney and ureter, not elsewhere classified;N28.9;Zaburzenia nerki i moczowodu, nieokreślone;
N28;Inne zaburzenia nerki i moczowodu niesklasyfikowane gdzie indziej;Other disorders of kidney and ureter, not elsewhere classified;N28.9;Zaburzenia nerki i moczowodu, nieokreślone;
N29*;Inne zaburzenia nerki i moczowodu w przebiegu chorób sklasyfikowanych gdzie indziej;Other disorders of kidney and ureter in diseases classified elsewhere;N29.0*;Kiła późna nerki (A52.7†);Late syphilis of kidney (A52.7+)
N29*;Inne zaburzenia nerki i moczowodu w przebiegu chorób sklasyfikowanych gdzie indziej;Other disorders of kidney and ureter in diseases classified elsewhere;N29.1*;Inne zaburzenia nerki i moczowodu w przebiegu chorób zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej;Other disorders of kidney and ureter in infectious and parasitic diseases classified elsewhere
N29*;Inne zaburzenia nerki i moczowodu w przebiegu chorób sklasyfikowanych gdzie indziej;Other disorders of kidney and ureter in diseases classified elsewhere;N29.1*;Inne zaburzenia nerki i moczowodu w przebiegu chorób zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej;
N29*;Inne zaburzenia nerki i moczowodu w przebiegu chorób sklasyfikowanych gdzie indziej;Other disorders of kidney and ureter in diseases classified elsewhere;N29.1*;Inne zaburzenia nerki i moczowodu w przebiegu chorób zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej;
N29*;Inne zaburzenia nerki i moczowodu w przebiegu chorób sklasyfikowanych gdzie indziej;Other disorders of kidney and ureter in diseases classified elsewhere;N29.8*;Inne zaburzenia nerki i moczowodu w przebiegu innych chorób sklasyfikowanych gdzie indziej;Other disorders of kidney and ureter in other diseases classified elsewhere
N30;Zapalenie pęcherza moczowego;Cystitis;N30.0;Ostre zapalenie pęcherza moczowego;Acute cystitis
N30;Zapalenie pęcherza moczowego;Cystitis;N30.1;Śródmiąższowe zapalenie pęcherza moczowego (przewlekłe);Interstitial cystitis (chronic)
N30;Zapalenie pęcherza moczowego;Cystitis;N30.2;Inne postacie przewlekłego zapalenia pęcherza moczowego;Other chronic cystitis
N30;Zapalenie pęcherza moczowego;Cystitis;N30.3;Zapalenie trójkąta pęcherza moczowego;Trigonitis
N30;Zapalenie pęcherza moczowego;Cystitis;N30.3;Zapalenie trójkąta pęcherza moczowego;
N30;Zapalenie pęcherza moczowego;Cystitis;N30.4;Popromienne zapalenie pęcherza moczowego;Irradiation cystitis
N30;Zapalenie pęcherza moczowego;Cystitis;N30.8;Inne postacie zapalenia pęcherza moczowego;Other cystitis
N30;Zapalenie pęcherza moczowego;Cystitis;N30.8;Inne postacie zapalenia pęcherza moczowego;
N30;Zapalenie pęcherza moczowego;Cystitis;N30.9;Zapalenie pęcherza moczowego, nieokreślone;Cystitis, unspecified
N31;Nerwowo-mięśniowa dysfunkcja pęcherza moczowego, niesklasyfikowana gdzie indziej;Neuromuscular dysfunction of bladder, not elsewhere classified;N31.0;Pęcherz moczowy neurogenny niesklasyfikowany gdzie indziej;Uninhibited neuropathic bladder, not elsewhere classified
N31;Nerwowo-mięśniowa dysfunkcja pęcherza moczowego, niesklasyfikowana gdzie indziej;Neuromuscular dysfunction of bladder, not elsewhere classified;N31.1;Odruchowy pęcherz moczowy neurogenny niesklasyfikowany gdzie indziej;Reflex neuropathic bladder, not elsewhere classified
N31;Nerwowo-mięśniowa dysfunkcja pęcherza moczowego, niesklasyfikowana gdzie indziej;Neuromuscular dysfunction of bladder, not elsewhere classified;N31.2;Wiotki pęcherz moczowy neurogenny niesklasyfikowany gdzie indziej;Flaccid neuropathic bladder, not elsewhere classified
N31;Nerwowo-mięśniowa dysfunkcja pęcherza moczowego, niesklasyfikowana gdzie indziej;Neuromuscular dysfunction of bladder, not elsewhere classified;N31.2;Wiotki pęcherz moczowy neurogenny niesklasyfikowany gdzie indziej;
N31;Nerwowo-mięśniowa dysfunkcja pęcherza moczowego, niesklasyfikowana gdzie indziej;Neuromuscular dysfunction of bladder, not elsewhere classified;N31.2;Wiotki pęcherz moczowy neurogenny niesklasyfikowany gdzie indziej;
N31;Nerwowo-mięśniowa dysfunkcja pęcherza moczowego, niesklasyfikowana gdzie indziej;Neuromuscular dysfunction of bladder, not elsewhere classified;N31.2;Wiotki pęcherz moczowy neurogenny niesklasyfikowany gdzie indziej;
N31;Nerwowo-mięśniowa dysfunkcja pęcherza moczowego, niesklasyfikowana gdzie indziej;Neuromuscular dysfunction of bladder, not elsewhere classified;N31.8;Inna nerwowo-mięśniowa dysfunkcja pęcherza moczowego;Other neuromuscular dysfunction of bladder
N31;Nerwowo-mięśniowa dysfunkcja pęcherza moczowego, niesklasyfikowana gdzie indziej;Neuromuscular dysfunction of bladder, not elsewhere classified;N31.9;Nerwowo-mięśniowa dysfunkcja pęcherza moczowego, nieokreślona;Neuromuscular dysfunction of bladder, unspecified
N31;Nerwowo-mięśniowa dysfunkcja pęcherza moczowego, niesklasyfikowana gdzie indziej;Neuromuscular dysfunction of bladder, not elsewhere classified;N31.9;Nerwowo-mięśniowa dysfunkcja pęcherza moczowego, nieokreślona;
N32;Inne schorzenia pęcherza moczowego;Other disorders of bladder;N32.0;Zwężenie szyi pęcherza moczowego;Bladder-neck obstruction
N32;Inne schorzenia pęcherza moczowego;Other disorders of bladder;N32.0;Zwężenie szyi pęcherza moczowego;
N32;Inne schorzenia pęcherza moczowego;Other disorders of bladder;N32.1;Przetoka pęcherzowo-jelitowa;Vesicointestinal fistula
N32;Inne schorzenia pęcherza moczowego;Other disorders of bladder;N32.1;Przetoka pęcherzowo-jelitowa;
N32;Inne schorzenia pęcherza moczowego;Other disorders of bladder;N32.2;Przetoka pęcherza moczowego, niesklasyfikowana gdzie indziej;Vesical fistula, not elsewhere classified
N32;Inne schorzenia pęcherza moczowego;Other disorders of bladder;N32.3;Uchyłek pęcherza moczowego;Diverticulum of bladder
N32;Inne schorzenia pęcherza moczowego;Other disorders of bladder;N32.3;Uchyłek pęcherza moczowego;
N32;Inne schorzenia pęcherza moczowego;Other disorders of bladder;N32.4;Pęknięcie pęcherza moczowego, nieurazowe;Rupture of bladder, nontraumatic
N32;Inne schorzenia pęcherza moczowego;Other disorders of bladder;N32.8;Inne określone zaburzenia pęcherza moczowego;Other specified disorders of bladder
N32;Inne schorzenia pęcherza moczowego;Other disorders of bladder;N32.8;Inne określone zaburzenia pęcherza moczowego;
N32;Inne schorzenia pęcherza moczowego;Other disorders of bladder;N32.8;Inne określone zaburzenia pęcherza moczowego;
N32;Inne schorzenia pęcherza moczowego;Other disorders of bladder;N32.9;Zaburzenie pęcherza moczowego, nieokreślone;Bladder disorder, unspecified
N33*;Schorzenia pęcherza moczowego w przebiegu chorób sklasyfikowanych gdzie indziej;Bladder disorders in diseases classified elsewhere;N33.0*;Gruźlicze zapalenie pęcherza moczowego (A18.1†);Tuberculous cystitis (A18.1+)
N33*;Schorzenia pęcherza moczowego w przebiegu chorób sklasyfikowanych gdzie indziej;Bladder disorders in diseases classified elsewhere;N33.8*;Schorzenia pęcherza moczowego w przebiegu innych chorób sklasyfikowanych gdzie indziej;Bladder disorders in other diseases classified elsewhere
N33*;Schorzenia pęcherza moczowego w przebiegu chorób sklasyfikowanych gdzie indziej;Bladder disorders in diseases classified elsewhere;N33.8*;Schorzenia pęcherza moczowego w przebiegu innych chorób sklasyfikowanych gdzie indziej;
N34;Zapalenie cewki moczowej i zespół cewki moczowej;Urethritis and urethral syndrome;N34.0;Ropień cewki moczowej;Urethral abscess
N34;Zapalenie cewki moczowej i zespół cewki moczowej;Urethritis and urethral syndrome;N34.0;Ropień cewki moczowej;
N34;Zapalenie cewki moczowej i zespół cewki moczowej;Urethritis and urethral syndrome;N34.0;Ropień cewki moczowej;
N34;Zapalenie cewki moczowej i zespół cewki moczowej;Urethritis and urethral syndrome;N34.0;Ropień cewki moczowej;
N34;Zapalenie cewki moczowej i zespół cewki moczowej;Urethritis and urethral syndrome;N34.0;Ropień cewki moczowej;
N34;Zapalenie cewki moczowej i zespół cewki moczowej;Urethritis and urethral syndrome;N34.1;Nieswoiste zapalenie cewki moczowej;Nonspecific urethritis
N34;Zapalenie cewki moczowej i zespół cewki moczowej;Urethritis and urethral syndrome;N34.1;Nieswoiste zapalenie cewki moczowej;
N34;Zapalenie cewki moczowej i zespół cewki moczowej;Urethritis and urethral syndrome;N34.1;Nieswoiste zapalenie cewki moczowej;
