hospital_code;diag_code;drug_code;patient_count;is_suppressed
3101054;C18.7;5901571320618;;true
3101054;C18.7;5055565748640;17;false
3101054;C18.7;5909991004699;39;false
3101054;C18.7;5909990827206;26;false
3101054;C18.7;5055565731352;64;false
3101054;C18.7;5055565707531;;true
3101054;C18.7;5909990340330;7;false
3101054;C18.7;5909990035922;13;false
3101054;C18.7;5909991288006;;true
3101054;C18.7;5909990035946;17;false
3101054;C18.7;5909990687848;;true
3101054;C18.7;5909990478019;85;false
3101054;C18.7;5909990796168;24;false
3101054;C18.7;5909990827381;58;false
3101054;C18.7;5909990646555;15;false
3101054;C18.7;5909990948994;;true
3101054;C18.7;5909991220501;;true
3101054;C18.7;5909990646531;15;false
3101054;C18.7;5908229302026;;true
3101054;C18.7;5909991094614;;true
3101054;C18.7;5901571320649;16;false
3101054;C18.7;5909991039400;;true
3101054;C18.7;5909991220518;;true
3101054;C18.7;5055565713853;;true
3101054;C18.7;5901571320625;13;false
3101054;C18.7;5909990648825;85;false
3101054;C18.7;5909990055234;123;false
3101054;C18.7;5909991039462;;true
3101054;C18.7;5902020241720;17;false
3101054;C18.7;5055565719350;;true
3101054;C18.7;5055565713846;;true
3101054;C18.7;5055565707548;15;false
3101054;C18.7;5909991451349;15;false
3101054;C18.7;5902020241737;47;false
3101054;C18.7;5909991004736;19;false
3101054;C18.8;5909990827381;;true
3101054;C18.8;5909990646555;;true
3101054;C18.8;5909990796168;;true
3101054;C18.8;5909991004699;;true
3101054;C18.8;5909990648825;;true
3101054;C18.8;5909991451349;;true
3101054;C18.8;5909991004736;;true
3101054;C18.8;5909990646531;;true
3101054;C18.8;5902020241737;;true
3101054;C18.8;5902020241720;;true
3101054;C18.8;5909990035922;;true
3101054;C18.8;5909990035946;;true
3101054;C18.8;5909990478019;;true
3101054;C18.8;5909990827206;;true
3101054;C18.8;5055565731352;;true
3101054;C18.8;5909990055234;6;false
3101054;C18.9;5909990948994;;true
3101054;C18.9;5909990035922;;true
3101054;C18.9;5055565748640;;true
3101054;C18.9;5909990646531;;true
3101054;C18.9;5055565707548;5;false
